"","Source","Target","Match ID","Row number","Quarter","Match time (s)","club","PI"
"98",270896,294674,98150101,987,2,1490,"Richmond","kickEffective"
"99",294674,290847,98150101,989,2,1492,"Richmond","handballEffective"
"100",290847,294674,98150101,991,2,1494,"Richmond","handballEffective"
"101",294674,250312,98150101,993,2,1497,"Richmond","kickIneffective"
"102",250312,261362,98150101,995,2,1503,"Richmond","handballEffective"
"103",261362,270896,98150101,997,2,1505,"Richmond","kickEffective"
"104",270896,250395,98150101,999,2,1508,"Richmond","kickEffective"
"105",250395,261362,98150101,1001,2,1520,"Richmond","kickEffective"
"106",261362,250312,98150101,1003,2,1524,"Richmond","handballEffective"
"107",250312,290198,98150101,1005,2,1526,"Richmond","handballEffective"
"108",290198,290847,98150101,1007,2,1530,"Richmond","handballEffective"
"109",290847,290032,98150101,1009,2,1534,"Richmond","kickEffective"
"110",290032,290847,98150101,1011,2,1544,"Richmond","kickIneffective"
"111",290847,270941,98150101,1015,2,1550,"Richmond","handballEffective"
"112",261362,992015,98150101,1033,2,1619,"Richmond","handballEffective"
"113",270896,291891,98150101,1044,2,1649,"Richmond","kickEffective"
"114",291891,270941,98150101,1046,2,1655,"Richmond","kickEffective"
"115",270941,250395,98150101,1049,2,1660,"Richmond","kickEffective"
"116",250395,260930,98150101,1051,2,1666,"Richmond","kickEffective"
"117",260930,290073,98150101,1053,2,1671,"Richmond","kickEffective"
"118",290073,250395,98150101,1055,2,1674,"Richmond","kickIneffective"
"119",294674,261362,98150101,1067,2,1714,"Richmond","handballEffective"
"120",261362,293713,98150101,1069,2,1716,"Richmond","handballEffective"
"121",293713,250312,98150101,1071,2,1718,"Richmond","kickEffective"
"122",250312,291891,98150101,1073,2,1723,"Richmond","kickEffective"
"123",261362,290198,98150101,1110,3,11,"Richmond","handballEffective"
"124",290198,293713,98150101,1112,3,12,"Richmond","handballEffective"
"125",293713,290032,98150101,1114,3,14,"Richmond","handballEffective"
"126",290032,250312,98150101,1116,3,15,"Richmond","handballEffective"
"127",250312,290032,98150101,1118,3,17,"Richmond","handballEffective"
"128",290032,293713,98150101,1121,3,20,"Richmond","handballEffective"
"129",290032,280747,98150101,1155,3,156,"Richmond","kickEffective"
"130",280747,250395,98150101,1158,3,164,"Richmond","kickEffective"
"131",261362,294674,98150101,1185,3,311,"Richmond","kickEffective"
